name,team,homeRuns
Aaron Judge,NYY,58
Shohei Ohtani,LAD,54
Juan Soto,NYY,41
Marcell Ozuna,ATL,39
Anthony Santander,BAL,44
Kyle Schwarber,PHI,38
Gunnar Henderson,BAL,37
Teoscar Hernández,LAD,33
Jose Ramírez,CLE,39
Bobby Witt Jr.,KC,32
Freddie Freeman,LAD,22
Vladimir Guerrero Jr.,TOR,30
Salvador Perez,KC,27
Adolis García,TEX,25
Rafael Devers,BOS,28
Pete Alonso,NYM,34
Francisco Lindor,NYM,33
Matt Olson,ATL,29
Yordan Alvarez,HOU,35
Kyle Tucker,HOU,23
Christian Yelich,MIL,11
Willy Adames,MIL,32
William Contreras,MIL,17
Jackson Chourio,MIL,21
Brice Turang,MIL,12
Rhys Hoskins,MIL,26
Christian Walker,ARI,26
Ketel Marte,ARI,36
Corbin Carroll,ARI,22
Eugenio Suárez,ARI,30
Mookie Betts,LAD,19
Will Smith,LAD,20
Max Muncy,LAD,15
Michael Conforto,SF,20
Tyler O'Neill,BOS,31
Jarren Duran,BOS,21
Bryce Harper,PHI,30
Trea Turner,PHI,21
Alec Bohm,PHI,20
Brandon Marsh,PHI,16
Bryson Stott,PHI,11
Fernando Tatis Jr.,SD,21
Manny Machado,SD,29
Jake Cronenworth,SD,17
Xander Bogaerts,SD,11
Ha-Seong Kim,SD,11
Jackson Merrill,SD,24
Giancarlo Stanton,NYY,27
Anthony Volpe,NYY,12
Austin Wells,NYY,13
Gleyber Torres,NYY,15
Jazz Chisholm Jr.,NYY,24
Adley Rutschman,BAL,19
Colton Cowser,BAL,24
Jordan Westburg,BAL,18
Cedric Mullins,BAL,18
Ryan O'Hearn,BAL,13
Corey Seager,TEX,30
Marcus Semien,TEX,23
Nathaniel Lowe,TEX,16
Jonah Heim,TEX,14
Josh Smith,TEX,13
Riley Greene,DET,24
Kerry Carpenter,DET,18
Matt Vierling,DET,16
Colt Keith,DET,13
Spencer Torkelson,DET,10
Mark Canha,DET,11
Jeremy Peña,HOU,15
Alex Bregman,HOU,26
Yainer Diaz,HOU,16
José Altuve,HOU,20
Jon Singleton,HOU,10
Chas McCormick,HOU,12
Bryan Reynolds,PIT,24
Oneil Cruz,PIT,21
Andrew McCutchen,PIT,13
Rowdy Tellez,PIT,13
Ke'Bryan Hayes,PIT,11
Josh Naylor,CLE,31
Steven Kwan,CLE,14
Andrés Giménez,CLE,19
Lane Thomas,CLE,15
David Fry,CLE,14
Bo Naylor,CLE,13
Vinnie Pasquantino,KC,19
MJ Melendez,KC,17
Michael Massey,KC,14
Hunter Renfroe,KC,11
Kyle Isbel,KC,10
Randy Arozarena,SEA,20
Cal Raleigh,SEA,25
Julio Rodríguez,SEA,20
Luke Raley,SEA,19
Mitch Haniger,SEA,12
Mitch Garver,SEA,14
Josh Rojas,SEA,11
Jorge Polanco,SEA,16
Mike Trout,LAA,10
Taylor Ward,LAA,25
Zach Neto,LAA,23
Nolan Schanuel,LAA,13
Logan O'Hoppe,LAA,20
Brent Rooker,OAK,39
Lawrence Butler,OAK,22
Seth Brown,OAK,18
Tyler Soderstrom,OAK,16
JJ Bleday,OAK,20
Shea Langeliers,OAK,29
Marcus Smith Jr.,STL,27
Nolan Arenado,STL,16
Willson Contreras,STL,15
Alec Burleson,STL,21
Brendan Donovan,STL,14
Lars Nootbaar,STL,12
Masyn Winn,STL,15
Paul Goldschmidt,STL,22
Elly De La Cruz,CIN,25
Spencer Steer,CIN,20
Jonathan India,CIN,15
Jeimer Candelario,CIN,20
TJ Friedl,CIN,13
Jake Fraley,CIN,17
Tyler Stephenson,CIN,19
Ian Happ,CHC,25
Seiya Suzuki,CHC,21
Cody Bellinger,CHC,18
Michael Busch,CHC,21
Dansby Swanson,CHC,16
Isaac Paredes,CHC,19
Christopher Morel,CHC,21
Nico Hoerner,CHC,12
